Pilumnopeus africanus
Evadne anonyx
Jassa marmorata
Hemimysis anomala
Nemopsis bachei
Boccardiella hamata
Aphelochaeta marioni
Bugulina stolonifera
Hypoglossum heterocystideum
Ostrea puelchana
Procambarus clarkii
Dinophysis sacculus
Ostrea angasi
Millepora alcicornis
Monocorophium insidiosum
Penilia avirostris
Mytilus trossulus
Aedes atropalpus
Asparagopsis armata
Potamothrix moldaviensis
Chaetodontoplus septentrionalis
Pilumnus spinifer
Edwardsiella lineata
Hypnea flagelliformis
Piaractus brachypomus
Scinaia acuta
Colaconema codicola
Celleporaria brunnea
Balanus glandula
Ostrea denselamellosa
Spartina alterniflora
Dreissena polymorpha
Kellicottia bostoniensis
Chaetoceros concavicornis
Haliotis discus hannai
Hypophthalmichthys nobilis
Sycon ancora
Oxydromus humesi
Didemnum vexillum
Planorbella duryi
Anser indicus
Spirorbis marioni
Gephyrocapsa huxleyi
Dipolydora tentaculata
Clavelina dellavallei
Kappaphycus alvarezii
Codium parvulum
Cryptonemia hibernica
Perkinsus olsenii
Tricellaria inopinata
Pikea californica
Tonicia chilensis
Mytilus chilensis
Eurytemora carolleeae
Aluterus monoceros
Goniotrichopsis sublittoralis
Codium taylorii
Pinctada imbricata
Amphibalanus amphitrite
Urosalpinx cinerea
Rosa rugosa
Ostrea equestris
Hypleurochilus pseudoaequipinnis
Thalassiosira tealata
Fredericqia deveauniensis
Obesogammarus obesus
Reptadeonella violacea
Peridiniella catenata
Typha laxmannii
Hypnea valentiae
Pseudo-nitzschia australis
Panulirus regius
Liopsetta glacialis
Jassa slatteryi
Symphyocladia marchantioides
Desdemona ornata
Gnatholepis thompsoni
Potamocorbula amurensis
Bankia fimbriatula
Gelidium vagum
Gymnodinium nolleri
Phytophthora inundata
Anotrichium furcellatum
Potamothrix bavaricus
Erysiphe aquilegiae
Heniochus acuminatus
Codium fragile subsp. fragile
Gammarus fasciatus
Celleporaria inaudita
Pileolaria berkeleyana
Phallusia mammillata
Brachidontes pharaonis
Chaetogammarus trichiatus
Acartia tonsa
Cnemidocarpa irene
Corynophlaea verruculiformis
Guinearma alberti
Codium intertextum
Pyropia yezoensis
Myicola ostreae
Colaconema dasyae
Aplidium proliferum
Calliostoma zizyphinum
